interval_begin,interval_end,id,density,speed,departed,arrived,entered
0.0,1800.00,1220087600,0.07,8.43,1,0,0
0.0,1800.00,1220087901,0.91,7.80,2,0,10
0.0,1800.00,1220087902,0.71,8.01,0,0,10
0.0,1800.00,1220088100,0.31,7.31,0,0,4
0.0,1800.00,1220085100,1.00,7.67,0,0,13
0.0,1800.00,1220084700,0.28,7.92,0,4,4
0.0,1800.00,1220084200,0.40,5.95,0,0,4
0.0,1800.00,1220084100,1.87,7.50,0,16,24
0.0,1800.00,1220079800,1.35,6.98,17,0,0
0.0,1800.00,1220080000,2.13,2.10,0,8,8
0.0,1800.00,1220080200,1.87,1.93,0,1,6
0.0,1800.00,1220080300,0.49,2.48,0,0,2
0.0,1800.00,1220080400,0.24,7.23,0,0,3
0.0,1800.00,1220080600,0.27,2.06,1,0,0
0.0,1800.00,1220080802,1.21,9.17,20,0,0
0.0,1800.00,1220080901,1.16,9.71,0,0,20
0.0,1800.00,1220080902,1.45,8.33,1,0,20
0.0,1800.00,1220081100,0.13,8.55,0,2,2
0.0,1800.00,1220079502,1.56,6.18,7,0,10
0.0,1800.00,1220081200,0.41,9.79,0,6,8
0.0,1800.00,1220081902,0.31,7.39,0,0,4
0.0,1800.00,1220082000,0.31,7.24,0,4,4
0.0,1800.00,1220082100,0.08,7.46,0,0,1
0.0,1800.00,1220082500,0.34,8.07,5,0,0
0.0,1800.00,1220082800,1.16,7.84,0,15,17
0.0,1800.00,1220083000,0.55,7.05,7,0,0
0.0,1800.00,1220083100,1.84,2.11,7,0,0
0.0,1800.00,1220083400,0.08,7.17,0,0,1
0.0,1800.00,1220083800,0.99,6.73,12,0,0
0.0,1800.00,1220084000,0.04,7.40,0,0,1
0.0,1800.00,1220081300,0.74,9.32,0,0,12
0.0,1800.00,1220032607,0.27,12.68,0,0,6
0.0,1800.00,1220032704,0.27,12.80,0,0,6
0.0,1800.00,1220024601,2.19,15.63,0,0,61
0.0,1800.00,1220020600,3.88,7.07,0,0,49
0.0,1800.00,1220020700,1.57,13.91,0,0,39
0.0,1800.00,1220020801,1.63,11.97,0,1,34
0.0,1800.00,1220020802,1.41,15.42,4,0,34
0.0,1800.00,1220020803,1.20,15.98,0,0,34
0.0,1800.00,1220020901,0.97,15.39,0,0,26
0.0,1800.00,1220020902,1.15,15.02,0,0,30
0.0,1800.00,1220020903,0.89,15.21,0,0,24
0.0,1800.00,1220021001,5.30,1.93,0,0,18
0.0,1800.00,1220021002,1.14,12.95,0,8,26
0.0,1800.00,1220021003,0.77,13.31,0,0,18
0.0,1800.00,1220021101,2.32,12.55,0,0,51
0.0,1800.00,1220021102,2.24,12.76,0,0,51
0.0,1800.00,1220021103,4.49,5.17,0,0,41
0.0,1800.00,1220021202,2.08,1.65,0,0,6
0.0,1800.00,1220021203,0.23,14.70,0,0,6
0.0,1800.00,1220021301,0.29,15.53,0,0,8
0.0,1800.00,1220021401,1.45,15.79,0,0,39
0.0,1800.00,1220021402,1.73,15.01,0,0,44
0.0,1800.00,1220021403,1.40,15.95,0,0,39
0.0,1800.00,1220021404,1.71,15.66,0,0,47
0.0,1800.00,1220019902,2.19,15.37,0,0,60
0.0,1800.00,1220021501,2.16,14.87,0,1,55
0.0,1800.00,1220019901,2.30,14.02,0,3,56
0.0,1800.00,1220019801,2.14,15.07,0,0,56
0.0,1800.00,1220018405,2.02,16.09,0,3,43
0.0,1800.00,1220018406,1.77,15.60,0,0,48
0.0,1800.00,1220018407,1.22,14.39,7,0,24
0.0,1800.00,1220018408,1.71,14.61,0,0,43
0.0,1800.00,1220018503,1.47,15.46,0,0,41
0.0,1800.00,1220018505,0.44,15.54,0,0,12
0.0,1800.00,1220018506,0.59,15.52,0,0,12
0.0,1800.00,1220018507,0.45,15.50,0,8,12
0.0,1800.00,1220018508,1.64,3.79,0,4,11
0.0,1800.00,1220019002,1.66,15.85,0,0,46
0.0,1800.00,1220019003,1.57,16.19,0,0,45
0.0,1800.00,1220019004,1.89,13.07,0,0,43
0.0,1800.00,1220019102,3.11,11.27,0,0,61
0.0,1800.00,1220019103,1.52,14.33,5,2,33
0.0,1800.00,1220019104,1.38,15.58,0,2,38
0.0,1800.00,1220019200,0.64,12.28,0,0,14
0.0,1800.00,1220019300,0.14,11.95,0,0,3
0.0,1800.00,1220019401,7.63,2.92,0,0,39
0.0,1800.00,1220019402,1.92,14.27,0,2,49
0.0,1800.00,1220019501,1.16,14.19,7,0,22
0.0,1800.00,1220019502,5.08,3.63,3,10,30
0.0,1800.00,1220019802,2.07,15.58,0,1,57
0.0,1800.00,1220021502,2.16,15.31,0,0,56
0.0,1800.00,1220021503,2.00,15.82,0,0,55
0.0,1800.00,1220021504,2.17,15.75,0,1,60
0.0,1800.00,1220023202,0.26,15.66,0,0,7
0.0,1800.00,1220023203,0.30,15.40,0,0,8
0.0,1800.00,1220023204,1.56,3.40,0,0,9
0.0,1800.00,1220023302,0.91,9.77,15,1,1
0.0,1800.00,1220023402,1.50,7.87,0,4,21
0.0,1800.00,1220023801,1.03,12.07,0,0,22
0.0,1800.00,1220023802,1.20,10.32,0,0,22
0.0,1800.00,1220023901,0.58,15.03,0,1,16
0.0,1800.00,1220023902,1.96,7.48,6,0,20
0.0,1800.00,1220024001,0.59,9.49,6,0,4
0.0,1800.00,1220024002,0.19,11.97,0,0,4
0.0,1800.00,1220024003,0.43,12.24,0,0,9
0.0,1800.00,1220024101,1.06,12.27,0,0,23
0.0,1800.00,1220024102,1.25,13.29,0,0,29
0.0,1800.00,1220024103,6.20,2.71,0,0,29
0.0,1800.00,1220024203,1.49,13.05,5,0,29
0.0,1800.00,1220024204,1.02,14.96,0,0,27
0.0,1800.00,1220024205,0.99,16.01,0,1,28
0.0,1800.00,1220024302,0.18,12.42,2,0,2
0.0,1800.00,1220024304,0.08,13.47,0,0,2
0.0,1800.00,1220024305,5.98,3.34,35,0,1
0.0,1800.00,1220023201,0.45,13.99,2,0,9
0.0,1800.00,1220023104,0.47,15.02,0,0,12
0.0,1800.00,1220023103,0.38,16.76,0,0,11
0.0,1800.00,1220023102,0.88,13.53,10,0,11
0.0,1800.00,1220021600,1.67,4.35,7,0,6
0.0,1800.00,1220021700,0.35,9.57,6,0,0
0.0,1800.00,1220021801,3.42,4.51,0,0,27
0.0,1800.00,1220021802,1.09,15.94,0,0,31
0.0,1800.00,1220021902,0.24,16.71,0,0,7
0.0,1800.00,1220021903,0.34,16.05,0,2,10
0.0,1800.00,1220022200,1.73,12.75,0,1,40
0.0,1800.00,1220022300,1.06,13.90,0,0,28
0.0,1800.00,1220022501,0.86,16.02,0,0,24
